iter	Passed	Remaining
557	2281	1807
558	2285	1803
559	2289	1799
560	2293	1795
561	2298	1791
562	2302	1787
563	2306	1782
564	2309	1778
565	2313	1774
566	2317	1769
567	2321	1765
568	2330	1765
569	2334	1760
570	2347	1763
571	2354	1761
572	2358	1757
573	2362	1753
574	2366	1748
575	2369	1744
576	2373	1739
577	2376	1735
578	2381	1731
579	2384	1727
580	2388	1722
581	2392	1718
582	2396	1713
583	2400	1709
584	2404	1705
585	2407	1700
586	2411	1696
587	2415	1692
588	2419	1688
589	2422	1683
590	2428	1680
591	2432	1676
592	2435	1671
593	2438	1666
594	2442	1662
595	2445	1657
596	2449	1653
597	2452	1648
598	2456	1644
599	2460	1640
600	2464	1636
601	2468	1632
602	2472	1627
603	2476	1623
604	2480	1619
605	2484	1615
606	2488	1611
607	2492	1607
608	2497	1603
609	2501	1599
610	2505	1595
611	2521	1598
612	2525	1594
613	2529	1589
614	2533	1586
615	2538	1582
616	2541	1577
617	2547	1574
618	2559	1575
619	2563	1570
620	2566	1566
621	2571	1562
622	2574	1558
623	2578	1553
624	2585	1551
625	2589	1547
626	2592	1542
627	2596	1538
628	2600	1533
629	2603	1529
630	2607	1524
631	2611	1520
632	2617	1517
633	2621	1513
634	2625	1509
635	2630	1505
636	2635	1501
637	2638	1497
638	2642	1492
639	2646	1488
640	2658	1488
641	2662	1484
642	2665	1479
643	2676	1479
644	2680	1475
645	2684	1471
646	2688	1466
647	2692	1462
648	2696	1458
649	2700	1453
650	2703	1449
651	2706	1444
652	2711	1441
653	2716	1436
654	2720	1432
655	2746	1440
656	2750	1435
657	2753	1431
658	2784	1441
659	2789	1436
660	2792	1432
661	2798	1428
662	2800	1423
663	2804	1419
664	2807	1414
665	2810	1409
666	2814	1405
667	2818	1400
668	2820	1395
669	2825	1391
670	2828	1386
671	2832	1382
672	2837	1378
673	2839	1373
674	2842	1368
675	2844	1363
676	2847	1358
677	2850	1353
678	2852	1348
679	2855	1343
680	2858	1338
681	2860	1333
682	2863	1329
683	2866	1324
684	2869	1319
685	2871	1314
686	2873	1309
687	2876	1304
688	2878	1299
689	2882	1294
690	2884	1290
691	2887	1285
692	2890	1280
693	2893	1275
694	2896	1271
695	2899	1266
696	2901	1261
697	2904	1256
698	2907	1251
699	2910	1247
700	2912	1242
701	2915	1237
702	2918	1232
703	2920	1227
704	2923	1223
705	2926	1218
706	2929	1213
707	2931	1208
708	2934	1204
709	2939	1200
710	2942	1196
711	2945	1191
712	2949	1187
713	2953	1183
714	2955	1178
715	2959	1173
716	2964	1170
717	2968	1165
718	2974	1162
719	2978	1158
720	2983	1154
721	2988	1150
722	2992	1146
723	2995	1142
724	3000	1138
725	3003	1133
726	3007	1129
727	3011	1125
728	3015	1121
729	3019	1116
730	3022	1112
731	3026	1108
732	3030	1103
733	3033	1099
734	3036	1094
735	3039	1090
736	3041	1085
737	3044	1080
738	3046	1075
739	3049	1071
740	3051	1066
741	3054	1062
742	3056	1057
743	3058	1052
744	3061	1047
745	3064	1043
746	3066	1038
747	3069	1034
748	3072	1029
749	3074	1024
750	3077	1020
751	3079	1015
752	3083	1011
753	3085	1006
754	3088	1002
755	3090	997
756	3092	992
757	3095	988
758	3097	983
759	3100	979
760	3103	974
761	3106	970
762	3110	966
763	3113	961
764	3117	957
765	3121	953
766	3127	950
767	3131	945
768	3133	941
769	3135	936
770	3138	932
771	3140	927
772	3141	922
773	3143	917
774	3145	913
775	3147	908
776	3149	903
777	3152	899
778	3153	894
779	3155	889
780	3156	885
781	3158	880
782	3159	875
783	3161	870
784	3162	866
785	3164	861
786	3165	856
787	3167	852
788	3168	847
789	3170	842
790	3171	838
791	3173	833
792	3175	828
793	3176	824
794	3178	819
795	3179	814
796	3181	810
797	3183	805
798	3185	801
799	3187	796
800	3189	792
801	3191	788
802	3193	783
803	3195	779
804	3198	774
805	3201	770
806	3204	766
807	3208	762
808	3212	758
809	3216	754
810	3219	750
811	3222	746
812	3225	741
813	3229	737
814	3234	734
815	3237	730
816	3240	725
817	3242	721
818	3245	717
819	3249	713
820	3253	709
821	3258	705
822	3262	701
823	3266	697
824	3270	693
825	3273	689
826	3277	685
827	3281	681
828	3289	678
829	3293	674
830	3297	670
831	3300	666
832	3304	662
833	3308	658
834	3312	654
835	3316	650
836	3320	646
837	3324	642
838	3328	638
839	3332	634
840	3336	630
841	3348	628
842	3353	624
843	3357	620
844	3361	616
845	3364	612
846	3368	608
847	3372	604
848	3376	600
849	3380	596
850	3384	592
851	3388	588
852	3392	584
853	3395	580
854	3399	576
855	3403	572
856	3407	568
857	3411	564
858	3414	560
859	3418	556
860	3423	552
861	3427	548
862	3432	544
863	3440	541
864	3443	537
865	3449	533
866	3452	529
867	3455	525
868	3457	521
869	3460	517
870	3463	512
871	3466	508
872	3470	504
873	3474	500
874	3478	496
875	3482	492
876	3486	488
877	3490	484
878	3493	480
879	3497	476
880	3500	472
881	3503	468
882	3507	464
883	3511	460
884	3514	456
885	3518	452
886	3522	448
887	3525	444
888	3529	440
889	3533	436
890	3537	432
891	3540	428
892	3544	424
893	3548	420
894	3551	416
895	3554	412
896	3559	408
897	3562	404
898	3565	400
899	3567	396
900	3569	392
901	3570	387
902	3572	383
903	3573	379
904	3575	375
905	3576	371
906	3577	366
907	3578	362
908	3580	358
909	3581	354
910	3583	350
911	3584	345
912	3585	341
913	3587	337
914	3588	333
915	3590	329
916	3591	325
917	3593	320
918	3595	316
919	3597	312
920	3598	308
921	3600	304
922	3601	300
923	3603	296
924	3604	292
925	3605	288
926	3606	284
927	3608	279
928	3609	275
929	3610	271
930	3612	267
931	3613	263
932	3615	259
933	3616	255
934	3618	251
935	3619	247
936	3621	243
937	3622	239
938	3624	235
939	3625	231
940	3626	227
941	3628	223
942	3630	219
943	3631	215
944	3633	211
945	3634	207
946	3636	203
947	3637	199
948	3638	195
949	3640	191
950	3641	187
951	3643	183
952	3644	179
953	3646	175
954	3647	171
955	3648	167
956	3651	164
957	3653	160
958	3656	156
959	3659	152
960	3662	148
961	3664	144
962	3666	140
963	3667	136
964	3669	133
965	3670	129
966	3672	125
967	3674	121
968	3675	117
969	3677	113
970	3678	109
971	3680	106
972	3681	102
973	3683	98
974	3685	94
975	3686	90
976	3688	86
977	3691	83
978	3695	79
979	3698	75
980	3702	71
981	3706	67
982	3709	64
983	3712	60
984	3715	56
985	3717	52
986	3720	49
987	3724	45
988	3729	41
989	3732	37
990	3736	33
991	3739	30
992	3743	26
993	3746	22
994	3749	18
995	3753	15
996	3756	11
997	3761	7
998	3764	3
999	3769	0
