sitename,source,listing_name,building_name,apartment_number,address,add_lat,add_long,property_management_name,monthly_rent,property_type,bedroom_count,bathroom_count,apartment_size,amenities,property_image,lease_period
apartments.com,https://www.apartments.com/park-victoria-apartments-halifax-ns/04thz52/,Park Victoria Apartments,Park Victoria Apartments,-1,"1333 S Park St , Halifax , NS B3J 2K9 – Halifax",-1,-1,https://images1.apartments.com/i2/CZpkA37fh4axG9QeyVss00nOnZGia1jHlS443gMFMGU/115/capreit-limited-partnership-logo.jpg,"C$2,110 - C$2,640",Apartment,1 - 2 bd,1 ba,614 - 830 sq ft,"Laundry Facilities, Property Manager on Site, Elevator, Spa",https://images1.apartments.com/i2/psMJCxrh6GQORlFVTK-ZHUxgRBGqpRBt9rfmAoRBk4s/111/park-victoria-apartments-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/garden-park-halifax-ns/xfjlnxn/,Garden Park,Garden Park,612,"1472 Cathedral Ln , Halifax , NS B3H 4K8 – Halifax",-1,-1,https://images1.apartments.com/i2/JnmLYSG7UguMXiAO51siV00ojv2YFqSsPAw7EaURb58/115/killam-apartment-reit-logo.jpg,"C$1,450",Apartment,1 bd,1 ba,350 sq ft,"Close to Dalhousie University, Modern Finishes, Hot Water Included, Special rate to CarShare Atlantic Membership, Close to St. Mary's University, Secure Entrance and Mail Drop Boxes, Cat Friendly, Fitness Room, Heat Included, Laminate Wood Flooring, Surface & Underground Parking Available for a Fee, Black Stainless Steel Appliances, Roof Top Patio, Laundry Facilities, Property Manager on Site, Elevator, Fitness Center",https://images1.apartments.com/i2/-nJ3EK3SMB-chsZZokMen955VJbKnu7ZIAm3zTSUOGY/111/garden-park-halifax-ns-garden-park-exterior.jpg?p=1,-1
apartments.com,https://www.apartments.com/somerset-place-apartments-halifax-ns/dm3xxhj/,Somerset Place Apartments,Somerset Place Apartments,-1,"1030 S Park St , Halifax , NS B3H 2W3 – Halifax",-1,-1,https://images1.apartments.com/i2/CZpkA37fh4axG9QeyVss00nOnZGia1jHlS443gMFMGU/115/capreit-limited-partnership-logo.jpg,"C$1,780 - C$2,735",Apartment,Studio - 2 bd,1 ba,500 - 950 sq ft,"Laundry Facilities, On-Site Retail, Elevator, Fitness Center",https://images1.apartments.com/i2/KAA0M9r2DgC7coe1eSfb_l8be9rcB2O5LntXmBtGCDM/111/somerset-place-apartments-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/shaunslieve-apartments-bedford-ns/dml9jhh/,Shaunslieve Apartments,Shaunslieve Apartments,42-301,"38-100 Shaunslieve Blvd , Bedford , NS B3M 3N3 – Halifax",-1,-1,https://images1.apartments.com/i2/JnmLYSG7UguMXiAO51siV00ojv2YFqSsPAw7EaURb58/115/killam-apartment-reit-logo.jpg,"C$1,925",Apartment,2 bd,1 ba,904 sq ft,"Easy Access to Downtown Halifax, Hot Water Included, Cat Friendly, Coin-Operated Laundry (In-Building), Heat Included, Patio/Balcony, Secure Entrance And Mail Drop Boxes, On-Site Staff, Free Surface Parking Available, Laundry Facilities, Security System, EV Charging, Multi Use Room, Fitness Center",https://images1.apartments.com/i2/BQScTkxnWbPtvreoztNinp05zVDLp0dl-gLr5MzfKCo/111/shaunslieve-apartments-bedford-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/bedford-heights-apartments-halifax-ns/c90qk4g/,Bedford Heights Apartments,Bedford Heights Apartments,2 Bedroom 0108,"22-40 Bedros Ln , Halifax , NS B3M 4W9 – Halifax",-1,-1,https://images1.apartments.com/i2/vKjvGcvAByilUh4-uQZuJXm3BDPjn62jHiYN4PdoF3g/115/metcap-living-logo.jpg,"C$2,499 - C$2,645",Apartment,2 bd,2 ba,"1,154 - 1,253 sq ft",Fitness Center,https://images1.apartments.com/i2/EicpPDs2EoWPHOXF-Y3drsQBZ_J8hDiy6xz4YHcEJ_w/111/bedford-heights-apartments-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/the-macdonald-halifax-ns/l88en8g/,The Macdonald,The Macdonald,-1,"5885 Cunard St , Halifax , NS B3K 1E3 – Halifax",-1,-1,https://images1.apartments.com/i2/CZpkA37fh4axG9QeyVss00nOnZGia1jHlS443gMFMGU/115/capreit-limited-partnership-logo.jpg,"C$2,050 - C$2,495",Apartment,1 - 2 bd,1 ba,760 - 961 sq ft,"Property Manager on Site, Fitness Center",https://images1.apartments.com/i2/un9qUBCQuQkGGpEB67QEAuODA_pmwvXfZ6HLPwpSu2k/111/the-macdonald-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/paige-plaza-halifax-ns/61tdvpr/,Paige Plaza,Paige Plaza,-1,"9-54 Paige Plaza , Halifax , NS B4E 0J6 – Halifax",-1,-1,https://images1.apartments.com/i2/vKjvGcvAByilUh4-uQZuJXm3BDPjn62jHiYN4PdoF3g/115/metcap-living-logo.jpg,"C$2,095",Apartment,2 bd,1 ba,861 sq ft,"Property Manager on Site, Storage Space",https://images1.apartments.com/i2/SVffP3f5iBZ_oER_2JxcEylOZ8hEv7dsBS7cQ8x-ugc/111/paige-plaza-halifax-ns-primary-photo.png?p=1,-1
apartments.com,https://www.apartments.com/quinpool-court-halifax-ns/mz355dh/,Quinpool Court,Quinpool Court,2155-304,"2155-2225 Monastery Ln , Halifax , NS B3L 4P9 – Halifax",-1,-1,https://images1.apartments.com/i2/JnmLYSG7UguMXiAO51siV00ojv2YFqSsPAw7EaURb58/115/killam-apartment-reit-logo.jpg,"C$2,395",Apartment,2 bd,1 ba,766 sq ft,"Heat Included, Close to Dalhousie University, In-Suite Laundry In Some Suites, Hot Water Included, Secure Entrance and Mail Drop Boxes, Coin-Operated Laundry, Special rate to CarShare Atlantic Membership, Solar Panels, Surface & Underground Parking Available for a Fee, Cat Friendly at 2225 Monastery Lane, Dog Friendly at 2155 Monastery Lane, Laminate Flooring, Laundry Facilities, Elevator, Playground",https://images1.apartments.com/i2/piVz6R7RI8LMKdkvJ_5yyozkOF1XFFyOzwVZE0Rx1Ms/111/quinpool-court-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/the-alexander-halifax-ns/fcvlbhv/,The Alexander,The Alexander,0408,"5121 Bishop St , Halifax , NS B3J 0E5 – Halifax",-1,-1,https://images1.apartments.com/i2/JnmLYSG7UguMXiAO51siV00ojv2YFqSsPAw7EaURb58/115/killam-apartment-reit-logo.jpg,"C$2,695",Apartment,2 bd,2 ba,849 sq ft,"Air Conditioner, Cat Friendly, Close to Halifax Brewery Market, Common Room, Clean and Modern, Bright and Spacious, Guest Suite, EV Charging Stations, Hot Water Included, In-Suite Laundry, Secure Entrance and Mail Drop Boxes, Stainless Steel Kitchen Appliances, Heat Included, On-Site AED, Landscaped Rooftop Terrace, Patio/Balcony, Package Service, Laundry Facilities, Property Manager on Site, Concierge, Elevator, Fitness Center, Roof Terrace, Grill",https://images1.apartments.com/i2/il6ViVf72p79l08XFP25L_Q_nM61DCphUVIgYC-a9Lg/111/the-alexander-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/barrington-terrace-halifax-ns/74s040y/,Barrington Terrace,Barrington Terrace,-1,"1070 Barrington St , Halifax , NS B3H 2R1 – Halifax",-1,-1,https://images1.apartments.com/i2/vKjvGcvAByilUh4-uQZuJXm3BDPjn62jHiYN4PdoF3g/115/metcap-living-logo.jpg,"C$3,295",Apartment,3 bd,1 ba,"1,139 sq ft","Air Conditioning, Heating, Tub/Shower, Oven, Range",https://images1.apartments.com/i2/PDFu30F--HGj6QEDyXaEx8fBYjRgNSon8CeRt8wHL5A/111/barrington-terrace-halifax-ns-primary-photo.png?p=1,-1
