listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,units_or_size,permit_Value
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/05/20240507_1907453578099937202842183.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/09/the-delmore-14/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240429_180950388564715767805755.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/01/the-delmore-13/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240420_1419005941592514227862573.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/23/the-delmore-12/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240409_1257564343188162874032897.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/11/the-delmore-11/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240331_1439314758944517491881070.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/03/the-delmore-10/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240318_133406697881672500589822.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/20/the-delmore-9/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240305_125301778967201904868927.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/06/the-delmore-8/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240229_1328405709809682649011303.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/01/the-delmore-7/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240221_1323347780681235009484672.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/22/the-delmore-6/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240215_1332266231854189083232498.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/16/the-delmore-5/,Halifax Regional Municipality development blog,20,
The Delmore,"2393 Maynard Street, Halifax",R C Jane,$3.6M,6,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240205_1252333879062558436971076.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/06/the-delmore-4/,Halifax Regional Municipality development blog,20,
The Edge,"51 Innovation Drive, Bedford",Residence,$15.1 M,6,66,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240420_1622043370481922831017824.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/24/the-edge-4/,Halifax Regional Municipality development blog,,
The Edge,"51 Innovation Drive, Bedford",Residence,$15.1 M,6,66,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240324_1658466619820216696795977.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/28/the-edge-3/,Halifax Regional Municipality development blog,,
The Edge,"51 Innovation Drive, Bedford",Residence,$15.1 M,6,66,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240303_1441018119891156646316657.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/04/the-edge-2/,Halifax Regional Municipality development blog,,
The Edge,"51 Innovation Drive, Bedford",Residence,$15.1 M,6,66,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240120_155137945821532953383287.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/22/the-edge/,Halifax Regional Municipality development blog,,
The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,$ -1,19,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240419_1335427420969848061494419.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/20/the-elevation-on-robie-11/,Halifax Regional Municipality development blog,-1 Units,
The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,$ -1,19,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240314_133745983787395456359902.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/15/the-elevation-on-robie-10/,Halifax Regional Municipality development blog,-1 Units,
The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,$ -1,19,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240227_1320462745539498079939545.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/28/the-elevation-on-robie-9/,Halifax Regional Municipality development blog,-1 Units,
The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,$ -1,19,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231223_1332277914910674856481179.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/24/the-elevation-on-robie-8/,Halifax Regional Municipality development blog,-1 Units,
The Elevation on Robie,"5858 Macara Street, Halifax",Banc Group,$ -1,19,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231209_133920.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/10/the-elevation-on-robie-7/,Halifax Regional Municipality development blog,-1 Units,
-1,-1,-1,-1,19,,-1,https://halifaxdevelopments.files.wordpress.com/2023/11/image.jpeg?w=640,https://halifaxdevelopments.ca/2023/11/21/the-elevation-on-robie-19-floors-residential/,Halifax Regional Municipality development blog,Residential + GF Commercial,
The Elmwood,"5185 South Street, Halifax",Galaxy Properties,$22 M,9,64,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240428_1412123332307014636919302.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/29/the-elmwood-5/,Halifax Regional Municipality development blog,,
The Elmwood,"5185 South Street, Halifax",Galaxy Properties,$22 M,9,64,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240406_1359277952425162497799241.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/07/the-elmwood-4/,Halifax Regional Municipality development blog,,
The Elmwood,"5185 South Street, Halifax",Unknown,$22 M,9,64,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240218_1605409197546817061296668.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/20/the-elmwood-3/,Halifax Regional Municipality development blog,,
The Elmwood,"5185 South Street, Halifax",Galaxy Properties,$22 M,9,75,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240108_1321325834024013263968746.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/09/the-elmwood-2/,Halifax Regional Municipality development blog,,
